,Chapter,C_name,string_kr,command,develop_note
1,0,시민1,오늘은 조금 조용한 것 같지 않아요?,!size 2 5 12 !police !speed 2 7 10,0_0_1 씬
2,0,시민2,오늘이라도 조용해야죠,!speed 1 4 50 !move 5,
3,0,시민2,하루도 빠짐없이 총을 쏘며 싸우는데!!,,
4,0,시민1,조금만 참으면 경찰이 해결해줄거라 믿어요...,,
5,0,시민2,경찰들도 꼼짝 못 하는거 보셧지않으세요?!,,
6,0,시민1,그렇지만 저희는 힘이 없는걸요...,!time,"대화가 끝난 후, 총소리가 발생"
7,0,시민1,힉!!!,,동시에 발생&시민이 도망감
8,0,시민2,꺄아아아악!!!,,
6,0,조직원1,정보에 따르면 아마추어들 밖에 없다고 합니다.,,
7,0,조직원1,그럴 일 없으시겠지만 방심하지 마십쇼.,,
8,0,리퍼,걱정은 필요없네,,
9,0,리퍼,먼저 들어가지,,"대화가 끝난 이후, 건물 내부로 들어감."
11,0,조직원2,저희는 후방을 지원하겠습니다.,,달려가는 장면
12,0,리퍼,뒤를 부탁하지,,
13,0,적군4,꽤 가까이서 들린 것 같은데?,,2층의 적군이 움직일 때
14,0,적군4,리... 리퍼...!!!,,2층의 적군이 사격할 때
15,0,적군5,우린 여기서 죽는걸까?,,3층의 적군이 나누는 대사
16,0,적군6,약한소리 하지마,,
17,0,적군5,하지만 리퍼가...,,
18,0,적군6,그 입 다물어!!\n우리는 살아남을거야,,
19,0,적군4,터... 터진다!!!,,튜토리얼 중 사망할 시 발생
20,0,적군5,뛰어!!!,,
21,0,적군6,살고싶으면 도망쳐!!!,,
22,0,조직원3,대장...\n이건 함정...,,4번 애니메이션 존에 입장할 시 발생
23,0,리퍼,이게 어떻게 된 일인가!,,
24,0,조직원3,빨리... 건물에서...,,"대화가 끝난 이후, 건물이 폭발함"
25,0,조직원5,뭐하는 짓이야!\n빨리 여기를 떠야한다고!,,0_2_1 씬
26,0,조직원4,리퍼가 죽었을리 없어!!!,,
27,0,조직원4,설령 죽었더라도 검은 고양이 녀석들이 알아선 안돼!!!,,
28,0,조직원5,젠장!!!,,
29,0,조직원4,차.. 찾았다...!,,
30,0,조직원5,서둘러!!!,,
31,0,설리번,"이봐, 지젤",,0_3_1 씬
32,0,지젤,이게 누구야?,,
33,0,설리번,나에게 진 빚이 있을텐데?,,
34,0,설리번,지금 바로 갚아줘야겠군.,,
35,0,지젤,시체 아닌가?,,
36,0,설리번,네가 살려내야 할 사람이다.,,
37,0,설리번,살려낸다면 네가 진 빚을 모두 청산해주지.,,
38,0,지젤,나랑 장난하자는건가?,,
39,0,설리번,이 분야의 최고봉이 자네여서 부탁하는걸세,,
40,0,설리번,실패는 없다고 생각하겠네.,,
41,0,지젤,... 살리기만 하면 되는건가?,,
42,0,지젤,킥킥킥... 살리기만 하면 되는거지?,,
43,0,설리번,...흠?,,
44,0,지젤,내 연구실에서 전부 나가줘,,
45,0,지젤,지금 당장 시작해야겠어,,
46,,지젤,킥킥킥...,,모든 조직원들이 나간 이후 발생.
47,,지젤,잭...\n준비됐니?,,
48,,조직원4,"대부, 저런 미친놈한테 맡겨도 되는거 맞습니까?",,
49,,설리번,너무 위험해 쫒겨났다곤 하지만\n전쟁에서 생명쪽으로 연구를 했다더군,,
50,,조직원5,저희가 아는 그 전쟁 맞습니까?,,
51,,설리번,...,,
52,,설리번,이 얘기는 이제 그만하지.,,
53,,리퍼,윽...,,
54,,리퍼,여긴 어디지?,,
55,,지젤,서...,,
56,,지젤,성공했다!!!,,
57,,리퍼,난 분명...,,
58,,지젤,자네가 어떤 존재가 된 줄 알고있나?,,
59,,리퍼,도대체 무슨 짓을 한거지?,,
60,,잭,죽여,,망상
61,,지젤,인간을 뛰어넘은거야!!!,,리퍼가 지젤을 가격.
62,,지젤,킥킥킥...,,
63,,지젤,역시 나는 천재야,,
, ,,,,
